shift_a,shift_b,shift_c,fgw_distance,relaxed_energy
0.500,0.667,-2.600,0.244046964067,-1127.150512695312
0.500,0.708,-2.600,0.243903390282,-1127.382080078125
0.500,0.750,-2.600,0.242480396450,-1127.462768554688
0.500,0.792,-2.600,0.242492799454,-1127.467895507812
0.500,0.833,-2.600,0.243489226038,-1127.393310546875
0.500,0.875,-2.600,0.245357718834,-1127.267822265625
0.500,0.917,-2.600,0.245214698681,-1127.290771484375
0.500,0.958,-2.600,0.242841489373,-1127.459594726562
0.542,0.000,-2.600,0.242845410581,-1127.439819335938
0.542,0.042,-2.600,0.244354127029,-1127.361450195312
0.542,0.083,-2.600,0.245840692683,-1126.974365234375
0.542,0.125,-2.600,0.244509626150,-1127.439941406250
0.542,0.167,-2.600,0.242480551308,-1127.382690429688
0.542,0.208,-2.600,0.243244214787,-1127.377319335938
0.542,0.250,-2.600,0.244486389183,-1127.366333007812
0.542,0.292,-2.600,0.245357718834,-1127.267822265625
0.542,0.333,-2.600,0.245028344543,-1127.250366210938
0.542,0.375,-2.600,0.243681139015,-1127.353271484375
0.542,0.417,-2.600,0.243542660896,-1127.329101562500
0.542,0.458,-2.600,0.243262320321,-1127.283691406250
0.542,0.500,-2.600,0.242841489373,-1127.459594726562
0.542,0.542,-2.600,0.243419905119,-1127.405639648438
0.542,0.583,-2.600,0.243244214787,-1127.377197265625
0.542,0.625,-2.600,0.243376564250,-1127.097290039062
0.542,0.667,-2.600,0.243478760243,-1127.335815429688
0.542,0.708,-2.600,0.242445814259,-1127.379028320312
0.542,0.750,-2.600,0.242361519337,-1127.479858398438
0.542,0.792,-2.600,0.242224288673,-1127.446044921875
0.542,0.833,-2.600,0.243072258484,-1127.473510742188
0.542,0.875,-2.600,0.244486389183,-1127.366333007812
0.542,0.917,-2.600,0.243419905119,-1127.405761718750
0.542,0.958,-2.600,0.242291890858,-1127.468627929688
0.583,0.000,-2.600,0.242327987162,-1127.427734375000
0.583,0.042,-2.600,0.243891219525,-1127.181274414062
0.583,0.083,-2.600,0.244533558922,-1127.350952148438
0.583,0.125,-2.600,0.242836298334,-1127.427368164062
0.583,0.167,-2.600,0.242362727388,-1127.462158203125
0.583,0.208,-2.600,0.243419905119,-1127.405761718750
0.583,0.250,-2.600,0.245214698681,-1127.290649414062
0.583,0.292,-2.600,0.245828472522,-1127.273559570312
0.583,0.333,-2.600,0.243694401544,-1127.412963867188
0.583,0.375,-2.600,0.242576597280,-1127.460327148438
0.583,0.417,-2.600,0.243761943094,-1127.286865234375
0.583,0.458,-2.600,0.244636156573,-1127.132080078125
0.583,0.500,-2.600,0.245214698681,-1127.290771484375
0.583,0.542,-2.600,0.244486389183,-1127.366333007812
0.583,0.583,-2.600,0.243551846661,-1127.321166992188
0.583,0.625,-2.600,0.243569138799,-1127.083740234375
0.583,0.667,-2.600,0.242840288065,-1127.345825195312
0.583,0.708,-2.600,0.242784940295,-1127.359741210938
0.583,0.750,-2.600,0.243250463664,-1127.344970703125
0.583,0.792,-2.600,0.243005030381,-1127.367065429688
0.583,0.833,-2.600,0.243551846661,-1127.321166992188
0.583,0.875,-2.600,0.243244214787,-1127.377319335938
0.583,0.917,-2.600,0.242362727388,-1127.462158203125
0.583,0.958,-2.600,0.242347812244,-1127.479858398438
0.625,0.000,-2.600,0.242998838846,-1127.350219726562
0.625,0.042,-2.600,0.243732853192,-1127.362182617188
0.625,0.083,-2.600,0.242958798718,-1127.409790039062
0.625,0.125,-2.600,0.242347812244,-1127.479858398438
0.625,0.167,-2.600,0.242291890858,-1127.468750000000
0.625,0.208,-2.600,0.242841489373,-1127.459594726562
0.625,0.250,-2.600,0.244636156573,-1127.132080078125
0.625,0.292,-2.600,0.244157516681,-1127.378417968750
0.625,0.333,-2.600,0.242374412941,-1127.444213867188
0.625,0.375,-2.600,0.242701071658,-1127.442626953125
0.625,0.417,-2.600,0.244157516681,-1127.378417968750
0.625,0.458,-2.600,0.245828472522,-1127.273559570312
0.625,0.500,-2.600,0.245357718834,-1127.267822265625
0.625,0.542,-2.600,0.243072258484,-1127.473510742188
0.625,0.583,-2.600,0.243005030381,-1127.366943359375
0.625,0.625,-2.600,0.244035315389,-1127.210449218750
0.625,0.667,-2.600,0.244620399364,-1127.246459960938
0.625,0.708,-2.600,0.244920000548,-1127.183349609375
