shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.583,0.458,-3.100,0.244636156573,-1118.894531250000
0.583,0.500,-3.100,0.245214698681,-1118.842895507812
0.583,0.542,-3.100,0.244486389183,-1118.925537109375
0.583,0.583,-3.100,0.243551846661,-1119.053710937500
0.583,0.625,-3.100,0.243569138799,-1119.078247070312
0.583,0.667,-3.100,0.242840288065,-1119.033691406250
0.583,0.708,-3.100,0.242784940295,-1118.999145507812
0.583,0.750,-3.100,0.243250463664,-1119.021606445312
0.583,0.792,-3.100,0.243005030381,-1119.067749023438
0.583,0.833,-3.100,0.243551846661,-1119.053710937500
0.583,0.875,-3.100,0.243244214787,-1119.050537109375
0.583,0.917,-3.100,0.242362727388,-1119.068725585938
0.583,0.958,-3.100,0.242347812244,-1119.073120117188
0.625,0.000,-3.100,0.242998838846,-1119.063232421875
0.625,0.042,-3.100,0.243732853192,-1119.033203125000
0.625,0.083,-3.100,0.242958798718,-1119.051513671875
0.625,0.125,-3.100,0.242347812244,-1119.073120117188
0.625,0.167,-3.100,0.242291890858,-1119.064819335938
0.625,0.208,-3.100,0.242841489373,-1118.991210937500
0.625,0.250,-3.100,0.244636156573,-1118.894531250000
0.625,0.292,-3.100,0.244157516681,-1118.929321289062
0.625,0.333,-3.100,0.242374412941,-1119.041137695312
0.625,0.375,-3.100,0.242701071658,-1119.055664062500
0.625,0.417,-3.100,0.244157516681,-1118.929321289062
0.625,0.458,-3.100,0.245828472522,-1118.804809570312
0.625,0.500,-3.100,0.245357718834,-1118.833007812500
0.625,0.542,-3.100,0.243072258484,-1118.988525390625
0.625,0.583,-3.100,0.243005030381,-1119.067871093750
0.625,0.625,-3.100,0.244035315389,-1118.983032226562
0.625,0.667,-3.100,0.244620399364,-1118.880859375000
0.625,0.708,-3.100,0.244920000548,-1118.871582031250
0.625,0.750,-3.100,0.244035315389,-1118.983032226562
0.625,0.792,-3.100,0.243569138799,-1119.079345703125
0.625,0.833,-3.100,0.243376564250,-1119.070678710938
0.625,0.875,-3.100,0.242480551308,-1119.033203125000
0.625,0.917,-3.100,0.242836298334,-1119.014038085938
0.625,0.958,-3.100,0.242958798718,-1119.051513671875
0.667,0.000,-3.100,0.243600108882,-1119.087646484375
0.667,0.042,-3.100,0.242998838846,-1119.063232421875
0.667,0.083,-3.100,0.242327987162,-1119.035400390625
0.667,0.125,-3.100,0.242845410581,-1119.034912109375
0.667,0.167,-3.100,0.242664708534,-1119.066650390625
0.667,0.208,-3.100,0.243262320321,-1119.040771484375
0.667,0.250,-3.100,0.243761943094,-1119.019165039062
0.667,0.292,-3.100,0.242701071658,-1119.055664062500
0.667,0.333,-3.100,0.242346565527,-1119.075927734375
0.667,0.375,-3.100,0.242374412941,-1119.041137695312
0.667,0.417,-3.100,0.243694401544,-1118.935302734375
0.667,0.458,-3.100,0.245028344543,-1118.870117187500
0.667,0.500,-3.100,0.243489226038,-1118.960205078125
0.667,0.542,-3.100,0.242224288673,-1119.061279296875
0.667,0.583,-3.100,0.243250463664,-1119.021606445312
0.667,0.625,-3.100,0.244920000548,-1118.871582031250
0.667,0.667,-3.100,0.246044439286,-1118.791015625000
0.667,0.708,-3.100,0.244620399364,-1118.880859375000
0.667,0.750,-3.100,0.242840288065,-1119.033691406250
0.667,0.792,-3.100,0.243478760243,-1119.056030273438
0.667,0.833,-3.100,0.244046964067,-1118.953002929688
0.667,0.875,-3.100,0.244509626150,-1118.882934570312
0.667,0.917,-3.100,0.244533558922,-1118.915161132812
