shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.304,0.826,-1.400,0.221069676079,-488.148315429688
0.304,0.870,-1.400,0.220903750676,-488.146728515625
0.304,0.913,-1.400,0.220736710478,-488.146545410156
0.304,0.957,-1.400,0.221052349992,-488.147766113281
0.348,0.000,-1.400,0.221055285357,-488.147491455078
0.348,0.043,-1.400,0.220728552620,-488.146453857422
0.348,0.087,-1.400,0.220978856852,-488.146881103516
0.348,0.130,-1.400,0.221068459417,-488.148437500000
0.348,0.174,-1.400,0.221319464799,-488.147705078125
0.348,0.217,-1.400,0.220974150346,-488.148071289062
0.348,0.261,-1.400,0.221298878772,-488.148864746094
0.348,0.304,-1.400,0.221628862248,-488.149414062500
0.348,0.348,-1.400,0.221265477844,-488.148284912109
0.348,0.391,-1.400,0.220985952877,-488.147766113281
0.348,0.435,-1.400,0.221287142387,-488.148040771484
0.348,0.478,-1.400,0.221041111475,-488.148620605469
0.348,0.522,-1.400,0.220838732417,-488.147064208984
0.348,0.565,-1.400,0.220749001878,-488.146606445312
0.348,0.609,-1.400,0.221104011217,-488.147766113281
0.348,0.652,-1.400,0.221265477844,-488.148284912109
0.348,0.696,-1.400,0.221129214358,-488.147521972656
0.348,0.739,-1.400,0.221093739286,-488.148010253906
0.348,0.783,-1.400,0.221519764425,-488.149169921875
0.348,0.826,-1.400,0.221444665119,-488.148864746094
0.348,0.870,-1.400,0.221010408317,-488.147766113281
0.348,0.913,-1.400,0.221198800672,-488.147369384766
0.348,0.957,-1.400,0.221140930177,-488.148345947266
0.391,0.000,-1.400,0.221290446497,-488.147949218750
0.391,0.043,-1.400,0.220950075780,-488.147186279297
0.391,0.087,-1.400,0.221180815754,-488.147583007812
0.391,0.130,-1.400,0.221028128967,-488.148193359375
0.391,0.174,-1.400,0.220793257785,-488.146789550781
0.391,0.217,-1.400,0.220769306820,-488.146545410156
0.391,0.261,-1.400,0.221158524522,-488.147888183594
0.391,0.304,-1.400,0.221342595568,-488.148376464844
0.391,0.348,-1.400,0.221104011217,-488.147766113281
0.391,0.391,-1.400,0.221079659075,-488.148254394531
0.391,0.435,-1.400,0.221509386201,-488.149169921875
0.391,0.478,-1.400,0.221434136030,-488.148803710938
0.391,0.522,-1.400,0.220972038367,-488.147460937500
0.391,0.565,-1.400,0.221141917493,-488.147064208984
0.391,0.609,-1.400,0.221079659075,-488.148254394531
0.391,0.652,-1.400,0.220985952877,-488.147552490234
0.391,0.696,-1.400,0.220731947559,-488.146545410156
0.391,0.739,-1.400,0.221063816537,-488.146942138672
0.391,0.783,-1.400,0.221123836733,-488.148498535156
0.391,0.826,-1.400,0.221321948965,-488.147949218750
0.391,0.870,-1.400,0.221001516859,-488.148040771484
0.391,0.913,-1.400,0.221245270013,-488.148620605469
0.391,0.957,-1.400,0.221586818684,-488.149230957031
