shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn,fgw_distance_cgnf,fgw_distance_magp,mace_single_point_energy,mace_relaxed_energy
0.342,0.974,-2.7,-2.4,0.181916088055 ,0.274288132972 ,0.300491407473 ,-967.131896972656 ,-978.166931152344 
0.395,0.026,-2.7,-2.4,0.182451140447 ,0.274866944944 ,0.301293290290 ,-967.137390136719 ,-978.360473632812 
0.395,0.079,-2.7,-2.4,0.183946374596 ,0.276343488562 ,0.304215392130 ,-967.106384277344 ,-977.985351562500 
0.395,0.132,-2.7,-2.4,0.180930169825 ,0.273180698526 ,0.298540708630 ,-967.151123046875 ,-978.576721191406 
0.395,0.184,-2.7,-2.4,0.181821201185 ,0.274227767055 ,0.300352937063 ,-967.130859375000 ,-978.169616699219 
0.395,0.237,-2.7,-2.4,0.181186239146 ,0.273486367678 ,0.299069756473 ,-967.146240234375 ,-978.582031250000 
0.395,0.289,-2.7,-2.4,0.183067756167 ,0.275394658349 ,0.302531205415 ,-967.117797851562 ,-978.575744628906 
0.395,0.342,-2.7,-2.4,0.183472313384 ,0.275855129111 ,0.303233158179 ,-967.118347167969 ,-978.315673828125 
0.395,0.395,-2.7,-2.4,0.182982787898 ,0.275343560623 ,0.302364055834 ,-967.122985839844 ,-977.993469238281 
0.395,0.447,-2.7,-2.4,0.182212076907 ,0.274521914320 ,0.300990204055 ,-967.126647949219 ,-978.573181152344 
0.395,0.5,-2.7,-2.4,0.180860490016 ,0.273143161191 ,0.298462340827 ,-967.150207519531 ,-978.581970214844 
0.395,0.553,-2.7,-2.4,0.182051265682 ,0.274469817018 ,0.300781767400 ,-967.128417968750 ,-978.141174316406 
0.395,0.605,-2.7,-2.4,0.181540109312 ,0.273835322797 ,0.299651794384 ,-967.143798828125 ,-978.563232421875 
0.395,0.658,-2.7,-2.4,0.184786084383 ,0.277178128350 ,0.305701044571 ,-967.099914550781 ,-977.995788574219 
0.395,0.711,-2.7,-2.4,0.182283931967 ,0.274681319987 ,0.300995897787 ,-967.139038085938 ,-978.032104492188 
0.395,0.763,-2.7,-2.4,0.183701860128 ,0.276098303895 ,0.303791146347 ,-967.106689453125 ,-977.967834472656 
0.395,0.816,-2.7,-2.4,0.180530713509 ,0.272772607508 ,0.297792584948 ,-967.160034179688 ,-978.172119140625 
0.395,0.868,-2.7,-2.4,0.182504216061 ,0.274999308220 ,0.301680589338 ,-967.120178222656 ,-978.948059082031 
0.395,0.921,-2.7,-2.4,0.180913490443 ,0.273186538755 ,0.298490543956 ,-967.154846191406 ,-978.352600097656 
0.395,0.974,-2.7,-2.4,0.184708492705 ,0.277095316872 ,0.305577492857 ,-967.098754882812 ,-977.951477050781 
0.447,0.026,-2.7,-2.4,0.180509593271 ,0.272745145711 ,0.297759301318 ,-967.159423828125 ,-978.587036132812 
0.447,0.079,-2.7,-2.4,0.183258697648 ,0.275700056388 ,0.303019169196 ,-967.111938476562 ,-978.192749023438 
0.447,0.132,-2.7,-2.4,0.181914611879 ,0.274288702241 ,0.300307408439 ,-967.143920898438 ,-978.350219726562 
0.447,0.184,-2.7,-2.4,0.185440189764 ,0.277844633797 ,0.306887317263 ,-967.094055175781 ,-978.104003906250 
0.447,0.237,-2.7,-2.4,0.181576271268 ,0.273912960631 ,0.299691796393 ,-967.147277832031 ,-978.494506835938 
0.447,0.289,-2.7,-2.4,0.182879767610 ,0.275342773991 ,0.302344393043 ,-967.115844726562 ,-978.204650878906 
0.447,0.342,-2.7,-2.4,0.180482132606 ,0.272720404706 ,0.297712501191 ,-967.159729003906 ,-978.422302246094 
0.447,0.395,-2.7,-2.4,0.182609595829 ,0.275008832237 ,0.301810425058 ,-967.118835449219 ,-978.122558593750 
0.447,0.447,-2.7,-2.4,0.181873532096 ,0.274209674541 ,0.300283988132 ,-967.140625000000 ,-978.156005859375 
0.447,0.5,-2.7,-2.4,0.184527209596 ,0.276906254789 ,0.305196966580 ,-967.103637695312 ,-978.328552246094 
0.447,0.553,-2.7,-2.4,0.182596954223 ,0.274950733842 ,0.301602730362 ,-967.129394531250 ,-978.528625488281 
