shift_a,shift_b,shift_c,fgw_distance,relaxed_energy
0.391,0.739,-1.300,0.221063816537,-489.075622558594
0.391,0.783,-1.300,0.221123836733,-489.064758300781
0.391,0.826,-1.300,0.221321948965,-489.059570312500
0.391,0.870,-1.300,0.221001516859,-489.074890136719
0.391,0.913,-1.300,0.221245270013,-489.055786132812
0.391,0.957,-1.300,0.221586818684,-489.049530029297
0.435,0.000,-1.300,0.221066867841,-489.072265625000
0.435,0.043,-1.300,0.221056186288,-489.070709228516
0.435,0.087,-1.300,0.221486162065,-489.052276611328
0.435,0.130,-1.300,0.221398340417,-489.055603027344
0.435,0.174,-1.300,0.220924363268,-489.075531005859
0.435,0.217,-1.300,0.221039943681,-489.075622558594
0.435,0.261,-1.300,0.221040691476,-489.073547363281
0.435,0.304,-1.300,0.220937068709,-489.074890136719
0.435,0.348,-1.300,0.220749001878,-489.082550048828
0.435,0.391,-1.300,0.221141917493,-489.073974609375
0.435,0.435,-1.300,0.221204313560,-489.055419921875
0.435,0.478,-1.300,0.221280338962,-489.057983398438
0.435,0.522,-1.300,0.221019760448,-489.075317382812
0.435,0.565,-1.300,0.221204313560,-489.055419921875
0.435,0.609,-1.300,0.221509386201,-489.052215576172
0.435,0.652,-1.300,0.221287142387,-489.061340332031
0.435,0.696,-1.300,0.220898153672,-489.076629638672
0.435,0.739,-1.300,0.221064191789,-489.072357177734
0.435,0.783,-1.300,0.221022398621,-489.074523925781
0.435,0.826,-1.300,0.220786291167,-489.080841064453
0.435,0.870,-1.300,0.220796087170,-489.081512451172
0.435,0.913,-1.300,0.221217226403,-489.068115234375
0.435,0.957,-1.300,0.221398130875,-489.054565429688
0.478,0.000,-1.300,0.220785343947,-489.081420898438
0.478,0.043,-1.300,0.221207781486,-489.072662353516
0.478,0.087,-1.300,0.221303341435,-489.054809570312
0.478,0.130,-1.300,0.221227537699,-489.056884765625
0.478,0.174,-1.300,0.221029028207,-489.075408935547
0.478,0.217,-1.300,0.221196598680,-489.056182861328
0.478,0.261,-1.300,0.221409746018,-489.053070068359
0.478,0.304,-1.300,0.221257790752,-489.063201904297
0.478,0.348,-1.300,0.220838732417,-489.080474853516
0.478,0.391,-1.300,0.220972038367,-489.073944091797
0.478,0.435,-1.300,0.221019760448,-489.075286865234
0.478,0.478,-1.300,0.220831250048,-489.080627441406
0.478,0.522,-1.300,0.220831250048,-489.080596923828
0.478,0.565,-1.300,0.221280338962,-489.058013916016
0.478,0.609,-1.300,0.221434136030,-489.054382324219
0.478,0.652,-1.300,0.221041111475,-489.071899414062
0.478,0.696,-1.300,0.221038681699,-489.071746826172
0.478,0.739,-1.300,0.221460668422,-489.053405761719
0.478,0.783,-1.300,0.221343677211,-489.055908203125
0.478,0.826,-1.300,0.220875130426,-489.076477050781
0.478,0.870,-1.300,0.220924128702,-489.079589843750
0.478,0.913,-1.300,0.221023162163,-489.075592041016
0.478,0.957,-1.300,0.220928207977,-489.074829101562
0.522,0.000,-1.300,0.220785343947,-489.081420898438
0.522,0.043,-1.300,0.220928207977,-489.075134277344
0.522,0.087,-1.300,0.221023162163,-489.075561523438
0.522,0.130,-1.300,0.220924128702,-489.079620361328
0.522,0.174,-1.300,0.220875130426,-489.076477050781
0.522,0.217,-1.300,0.221343677211,-489.055908203125
0.522,0.261,-1.300,0.221460668422,-489.053100585938
0.522,0.304,-1.300,0.221038681699,-489.071746826172
0.522,0.348,-1.300,0.221041111475,-489.071929931641
0.522,0.391,-1.300,0.221434136030,-489.054718017578
0.522,0.435,-1.300,0.221280338962,-489.058013916016
0.522,0.478,-1.300,0.220831250048,-489.080627441406
0.522,0.522,-1.300,0.220831250048,-489.080261230469
0.522,0.565,-1.300,0.221019760448,-489.075286865234
0.522,0.609,-1.300,0.220972038367,-489.074279785156
0.522,0.652,-1.300,0.220838732417,-489.080444335938
0.522,0.696,-1.300,0.221257790752,-489.062866210938
0.522,0.739,-1.300,0.221409746018,-489.053405761719
0.522,0.783,-1.300,0.221196598680,-489.055847167969
0.522,0.826,-1.300,0.221029028207,-489.075408935547
0.522,0.870,-1.300,0.221227537699,-489.056884765625
0.522,0.913,-1.300,0.221303341435,-489.054809570312
0.522,0.957,-1.300,0.221207781486,-489.072662353516
0.565,0.000,-1.300,0.221066867841,-489.072265625000
0.565,0.043,-1.300,0.221398130875,-489.054870605469
0.565,0.087,-1.300,0.221217226403,-489.068115234375
0.565,0.130,-1.300,0.220796087170,-489.081176757812
0.565,0.174,-1.300,0.220786291167,-489.080535888672
0.565,0.217,-1.300,0.221022398621,-489.074523925781
0.565,0.261,-1.300,0.221064191789,-489.072387695312
0.565,0.304,-1.300,0.220898153672,-489.076629638672
0.565,0.348,-1.300,0.221287142387,-489.061309814453
0.565,0.391,-1.300,0.221509386201,-489.052246093750
0.565,0.435,-1.300,0.221204313560,-489.055450439453
0.565,0.478,-1.300,0.221019760448,-489.075286865234
0.565,0.522,-1.300,0.221280338962,-489.058013916016
0.565,0.565,-1.300,0.221204313560,-489.055755615234
0.565,0.609,-1.300,0.221141917493,-489.074371337891
0.565,0.652,-1.300,0.220749001878,-489.082244873047
0.565,0.696,-1.300,0.220937068709,-489.074890136719
0.565,0.739,-1.300,0.221040691476,-489.073883056641
0.565,0.783,-1.300,0.221039943681,-489.075622558594
0.565,0.826,-1.300,0.220924363268,-489.075500488281
0.565,0.870,-1.300,0.221398340417,-489.055633544922
