shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn,fgw_distance_cgnf,fgw_distance_magp,mace_single_point_energy,mace_relaxed_energy
0.342,0.658,-1.4,-1.3,0.221274661488 ,0.223068537365 ,0.168382286070 ,-488.148376464844 ,-489.057189941406 
0.342,0.711,-1.4,-1.3,0.220933545852 ,0.222381623638 ,0.168104652314 ,-488.147949218750 ,-489.074218750000 
0.342,0.763,-1.4,-1.3,0.221170747550 ,0.222925074149 ,0.168363825108 ,-488.148681640625 ,-489.055450439453 
0.342,0.816,-1.4,-1.3,0.221440042825 ,0.223554656659 ,0.168673550254 ,-488.149200439453 ,-489.051910400391 
0.342,0.868,-1.4,-1.3,0.220931924621 ,0.222630026976 ,0.168161041849 ,-488.147613525391 ,-489.073242187500 
0.342,0.921,-1.4,-1.3,0.221099925345 ,0.223111144471 ,0.168324253848 ,-488.147308349609 ,-489.072998046875 
0.342,0.974,-1.4,-1.3,0.220945572333 ,0.222300106407 ,0.168072885376 ,-488.148437500000 ,-489.072326660156 
0.395,0.026,-1.4,-1.3,0.220861169805 ,0.222515297165 ,0.168133584571 ,-488.147613525391 ,-489.074645996094 
0.395,0.079,-1.4,-1.3,0.221160810561 ,0.223070270212 ,0.168309074054 ,-488.147552490234 ,-489.070739746094 
0.395,0.132,-1.4,-1.3,0.220951506362 ,0.222359837243 ,0.168089151217 ,-488.148254394531 ,-489.072448730469 
0.395,0.184,-1.4,-1.3,0.220661528745 ,0.223459938939 ,0.168499008522 ,-488.146667480469 ,-489.082092285156 
0.395,0.237,-1.4,-1.3,0.220919956548 ,0.223065701609 ,0.168348425201 ,-488.147033691406 ,-489.076110839844 
0.395,0.289,-1.4,-1.3,0.221071732076 ,0.222668099046 ,0.168241754925 ,-488.148529052734 ,-489.065032958984 
0.395,0.342,-1.4,-1.3,0.221083342672 ,0.222820706438 ,0.168241011768 ,-488.147705078125 ,-489.071289062500 
0.395,0.395,-1.4,-1.3,0.221041868890 ,0.222538985327 ,0.168169964539 ,-488.148284912109 ,-489.069152832031 
0.395,0.447,-1.4,-1.3,0.221539632344 ,0.223749827726 ,0.168785535509 ,-488.149444580078 ,-489.048217773438 
0.395,0.5,-1.4,-1.3,0.221183298840 ,0.222874395590 ,0.168289378463 ,-488.148101806641 ,-489.067565917969 
0.395,0.553,-1.4,-1.3,0.220987235117 ,0.222876350772 ,0.168281974183 ,-488.147277832031 ,-489.074554443359 
0.395,0.605,-1.4,-1.3,0.221041868890 ,0.222538985327 ,0.168169964539 ,-488.148284912109 ,-489.069427490234 
0.395,0.658,-1.4,-1.3,0.220884780717 ,0.222770895080 ,0.168252644093 ,-488.147216796875 ,-489.075592041016 
0.395,0.711,-1.4,-1.3,0.220653884652 ,0.223569661251 ,0.168542228134 ,-488.146606445312 ,-489.085266113281 
0.395,0.763,-1.4,-1.3,0.221030106280 ,0.222641253994 ,0.168177895589 ,-488.148010253906 ,-489.070922851562 
0.395,0.816,-1.4,-1.3,0.221275668582 ,0.223118066698 ,0.168363141514 ,-488.148071289062 ,-489.058776855469 
