shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.167,0.958,-2.700,0.276292316022,-967.104248046875
0.208,0.000,-2.700,0.272625234441,-967.153564453125
0.208,0.042,-2.700,0.275695952602,-967.107055664062
0.208,0.083,-2.700,0.274198320979,-967.137573242188
0.208,0.125,-2.700,0.275600466825,-967.116333007812
0.208,0.167,-2.700,0.276267505736,-967.103576660156
0.208,0.208,-2.700,0.273020684518,-967.152587890625
0.208,0.250,-2.700,0.274395134740,-967.123779296875
0.208,0.292,-2.700,0.273107080028,-967.142517089844
0.208,0.333,-2.700,0.272625234441,-967.153564453125
0.208,0.375,-2.700,0.275695952602,-967.107055664062
0.208,0.417,-2.700,0.274198320980,-967.137573242188
0.208,0.458,-2.700,0.275600466825,-967.116333007812
0.208,0.500,-2.700,0.276267505736,-967.103576660156
0.208,0.542,-2.700,0.273020684518,-967.152587890625
0.208,0.583,-2.700,0.274395134740,-967.123779296875
0.208,0.625,-2.700,0.273107080028,-967.142517089844
0.208,0.667,-2.700,0.272625234441,-967.153564453125
0.208,0.708,-2.700,0.275695952602,-967.107055664062
0.208,0.750,-2.700,0.274198320980,-967.137512207031
0.208,0.792,-2.700,0.275600466825,-967.116333007812
0.208,0.833,-2.700,0.276267505736,-967.103576660156
0.208,0.875,-2.700,0.273020684518,-967.152587890625
0.208,0.917,-2.700,0.274395134740,-967.123779296875
0.208,0.958,-2.700,0.273107080028,-967.142517089844
0.250,0.000,-2.700,0.274146944561,-967.130554199219
0.250,0.042,-2.700,0.274304969577,-967.123107910156
0.250,0.083,-2.700,0.272252876747,-967.162048339844
0.250,0.125,-2.700,0.274304969577,-967.123107910156
0.250,0.167,-2.700,0.274146944561,-967.130615234375
0.250,0.208,-2.700,0.274238774372,-967.136779785156
0.250,0.250,-2.700,0.277464570486,-967.094116210938
0.250,0.292,-2.700,0.274238774372,-967.136779785156
0.250,0.333,-2.700,0.274146944561,-967.130615234375
0.250,0.375,-2.700,0.274304969577,-967.123107910156
0.250,0.417,-2.700,0.272252876747,-967.162109375000
0.250,0.458,-2.700,0.274304969577,-967.123107910156
0.250,0.500,-2.700,0.274146944561,-967.130615234375
0.250,0.542,-2.700,0.274238774371,-967.136779785156
0.250,0.583,-2.700,0.277464570486,-967.094116210938
0.250,0.625,-2.700,0.274238774372,-967.136779785156
0.250,0.667,-2.700,0.274146944561,-967.130554199219
0.250,0.708,-2.700,0.274304969577,-967.123107910156
