trial_id,min_energy_random8of24_eV,proxy_best_energy_top8_eV,delta_random_min_minus_proxybest_eV,resample_base,pool_n,budget_k,seed
365,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
366,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
367,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
368,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
369,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
370,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
371,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
372,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
373,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
374,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
375,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
